CustomerID,ProductID,RegionID,PurchaseDate,StockDate,CostPrice,PurchasePrice,QuantityPurchased
2,8,4,28/11/1990,24/03/1990,7.6068,7.5532,4
3,9,5,29/11/1990,01/01/1990,8.5532,8.5532,4
4,10,6,30/11/1990,02/01/1990,9.6314,9.5532,5
5,11,7,01/12/1990,03/01/1990,10.0071,10.5532,1
6,12,8,02/12/1990,04/01/1990,11.6068,11.5532,3
7,1,1,03/12/1990,05/01/1990,0.5532,0.6638,1
8,2,2,04/12/1990,06/01/1990,1.6314,1.8208,2
9,3,3,05/12/1990,07/01/1990,2.0071,2.01,3
10,4,4,06/12/1990,08/01/1990,3.6068,3.9102,5
11,5,5,07/12/1990,09/01/1990,4.5532,4.5532,5
12,6,6,08/12/1990,10/01/1990,5.6314,5.5532,1
13,7,7,09/12/1990,11/01/1990,6.0071,6.5532,2
14,8,8,10/12/1990,12/01/1990,7.6068,7.5532,4
15,9,1,11/12/1990,13/01/1990,8.5532,8.5532,4
1,10,2,12/12/1990,14/01/1990,9.6314,9.5532,5
2,11,3,13/12/1990,15/01/1990,10.0071,10.5532,1
3,12,4,14/12/1990,16/01/1990,11.6068,11.5532,3
4,1,5,15/12/1990,17/01/1990,0.5532,0.6638,1
5,2,6,16/12/1990,18/01/1990,1.6314,1.8208,2
6,3,7,17/12/1990,19/01/1990,2.0071,2.01,3
7,4,8,18/12/1990,20/01/1990,3.6068,3.9102,5
8,5,1,19/12/1990,21/01/1990,4.5532,4.5532,5
9,6,2,20/12/1990,22/01/1990,5.6314,5.5532,1
10,7,3,21/12/1990,23/01/1990,6.0071,6.5532,2
11,8,4,22/12/1990,24/01/1990,7.6068,7.5532,4
12,9,5,23/12/1990,25/01/1990,8.5532,8.5532,4
13,10,6,24/12/1990,26/01/1990,9.6314,9.5532,5
14,11,7,25/12/1990,27/01/1990,10.0071,10.5532,1
15,12,8,26/12/1990,28/01/1990,11.6068,11.5532,3
1,1,1,27/12/1990,29/01/1990,0.5532,0.6638,1
2,2,2,28/12/1990,30/01/1990,1.6314,1.8208,2
3,3,3,29/12/1990,31/01/1990,2.0071,2.01,3
4,4,4,30/12/1990,01/02/1990,3.6068,3.9102,5
5,5,5,31/12/1990,02/02/1990,4.5532,4.5532,5
6,6,6,01/01/1991,03/02/1990,5.6314,5.5532,1
7,7,7,02/01/1991,04/02/1990,6.0071,6.5532,2
8,8,8,03/01/1991,05/02/1990,7.6068,7.5532,4
9,9,1,04/01/1991,06/02/1990,8.5532,8.5532,4
10,10,2,05/01/1991,07/02/1990,9.6314,9.5532,5
11,11,3,06/01/1991,08/02/1990,10.0071,10.5532,1
12,12,4,07/01/1991,09/02/1990,11.6068,11.5532,3
13,1,5,08/01/1991,10/02/1990,0.5532,0.6638,1
14,2,6,09/01/1991,11/02/1990,1.6314,1.8208,2
15,3,7,10/01/1991,12/02/1990,2.0071,2.01,3
1,4,8,11/01/1991,13/02/1990,3.6068,3.9102,5
2,5,1,12/01/1991,14/02/1990,4.5532,4.5532,5
3,6,2,13/01/1991,15/02/1990,5.6314,5.5532,1
4,7,3,14/01/1991,16/02/1990,6.0071,6.5532,2
5,8,4,15/01/1991,17/02/1990,7.6068,7.5532,4
6,9,5,16/01/1991,18/02/1990,8.5532,8.5532,4
7,10,6,17/01/1991,19/02/1990,9.6314,9.5532,5
8,11,7,18/01/1991,20/02/1990,10.0071,10.5532,1
9,12,8,19/01/1991,21/02/1990,11.6068,11.5532,3
10,1,1,20/01/1991,22/02/1990,0.5532,0.6638,1
11,2,2,21/01/1991,23/02/1990,1.6314,1.8208,2
12,3,3,22/01/1991,24/02/1990,2.0071,2.01,3
13,4,4,23/01/1991,25/02/1990,3.6068,3.9102,5
14,5,5,24/01/1991,26/02/1990,4.5532,4.5532,5
15,6,6,25/01/1991,27/02/1990,5.6314,5.5532,1
1,7,7,26/01/1991,28/02/1990,6.0071,6.5532,2
2,8,8,27/01/1991,01/03/1990,7.6068,7.5532,4
3,9,1,28/01/1991,02/03/1990,8.5532,8.5532,4
4,10,2,29/01/1991,03/03/1990,9.6314,9.5532,5
5,11,3,30/01/1991,04/03/1990,10.0071,10.5532,1
6,12,4,31/01/1991,05/03/1990,11.6068,11.5532,3
7,1,5,01/02/1991,06/03/1990,0.5532,0.6638,1
8,2,6,02/02/1991,07/03/1990,1.6314,1.8208,2
9,3,7,03/02/1991,08/03/1990,2.0071,2.01,3
10,4,8,04/02/1991,09/03/1990,3.6068,3.9102,5
11,5,1,05/02/1991,10/03/1990,4.5532,4.5532,5
12,6,2,06/02/1991,11/03/1990,5.6314,5.5532,1
13,7,3,07/02/1991,12/03/1990,6.0071,6.5532,2
14,8,4,08/02/1991,13/03/1990,7.6068,7.5532,4
15,9,5,09/02/1991,14/03/1990,8.5532,8.5532,4
1,10,6,10/02/1991,15/03/1990,9.6314,9.5532,5
2,11,7,11/02/1991,16/03/1990,10.0071,10.5532,1
3,12,8,12/02/1991,17/03/1990,11.6068,11.5532,3
4,1,1,13/02/1991,18/03/1990,0.5532,0.6638,1
5,2,2,14/02/1991,19/03/1990,1.6314,1.8208,2
6,3,3,15/02/1991,20/03/1990,2.0071,2.01,3
7,4,4,16/02/1991,21/03/1990,3.6068,3.9102,5
8,5,5,17/02/1991,22/03/1990,4.5532,4.5532,5
9,6,6,18/02/1991,23/03/1990,5.6314,5.5532,1
10,7,7,19/02/1991,24/03/1990,6.0071,6.5532,2
11,8,8,20/02/1991,01/01/1990,7.6068,7.5532,4
12,9,1,21/02/1991,02/01/1990,8.5532,8.5532,4
13,10,2,22/02/1991,03/01/1990,9.6314,9.5532,5
14,11,3,23/02/1991,04/01/1990,10.0071,10.5532,1
15,12,4,24/02/1991,05/01/1990,11.6068,11.5532,3
1,1,5,25/02/1991,06/01/1990,0.5532,0.6638,1
2,2,6,26/02/1991,07/01/1990,1.6314,1.8208,2
3,3,7,27/02/1991,08/01/1990,2.0071,2.01,3
4,4,8,28/02/1991,09/01/1990,3.6068,3.9102,5
5,5,1,01/03/1991,10/01/1990,4.5532,4.5532,5
6,6,2,02/03/1991,11/01/1990,5.6314,5.5532,1
7,7,3,03/03/1991,12/01/1990,6.0071,6.5532,2
8,8,4,04/03/1991,13/01/1990,7.6068,7.5532,4
9,9,5,05/03/1991,14/01/1990,8.5532,8.5532,4
10,10,6,06/03/1991,15/01/1990,9.6314,9.5532,5
11,11,7,07/03/1991,16/01/1990,10.0071,10.5532,1
12,12,8,08/03/1991,17/01/1990,11.6068,11.5532,3
13,1,1,09/03/1991,18/01/1990,0.5532,0.6638,1
14,2,2,10/03/1991,19/01/1990,1.6314,1.8208,2
15,3,3,11/03/1991,20/01/1990,2.0071,2.01,3
1,4,4,12/03/1991,21/01/1990,3.6068,3.9102,5
